"","fileName","subj","word","block","seq","Label","F0Hz","F1Hz","F2Hz","F3Hz","F4.Hz.","F1Bark","F2Bark","F3Bark","F4Bark","gender","BB"
"187","subj_18_kiggif_MN1_52",18,"kiggif","MN1","52","I","342",352,2568,3018,3555,4,15,16,17,"F","NB"
"188","subj_18_kiggif_Pre_31",18,"kiggif","Pre","31","I","235",433,2409,2797,3758,4,14,15,17,"F","NB"
"189","subj_18_kiggif_Pre_51",18,"kiggif","Pre","51","I","231",363,2594,3108,3738,4,15,16,17,"F","NB"
"190","subj_18_kiggif_Pre_9",18,"kiggif","Pre","9","I","236",353,2235,2923,3745,4,14,15,17,"F","NB"
"191","subj_18_piffif_35_Post",18,"piffif","Post","35","I","301",309,2396,2941,3784,3,14,16,17,"F","NB"
"192","subj_18_piffif_49_Post",18,"piffif","Post","49","I","321",328,2407,2757,3713,3,14,15,17,"F","NB"
"193","subj_18_piffif_9_Post",18,"piffif","Post","9","I","231",307,2541,2994,3876,3,15,16,17,"F","NB"
"194","subj_18_piffif_AF2_1",18,"piffif","AF2","1","I","274",276,2456,3210,3693,3,14,16,17,"F","NB"
"195","subj_18_piffif_AF2_21",18,"piffif","AF2","21","I","235",277,2620,2983,3831,3,15,16,17,"F","NB"
"196","subj_18_piffif_AF2_29",18,"piffif","AF2","29","I","264",271,2412,2917,3621,3,14,15,17,"F","NB"
"197","subj_18_piffif_MN1_12",18,"piffif","MN1","12","I","305",307,2420,2768,3815,3,14,15,17,"F","NB"
"198","subj_18_piffif_MN1_21",18,"piffif","MN1","21","I","346",348,2427,2611,3569,4,14,15,17,"F","NB"
"199","subj_18_piffif_MN1_28",18,"piffif","MN1","28","I","288",295,2430,2811,3753,3,14,15,17,"F","NB"
"200","subj_18_piffif_Pre_23",18,"piffif","Pre","23","I","246",290,2416,2904,3866,3,14,15,17,"F","NB"
"201","subj_18_piffif_Pre_49",18,"piffif","Pre","49","I","219",347,2385,3049,3820,4,14,16,17,"F","NB"
"202","subj_18_piffif_Pre_7",18,"piffif","Pre","7","I","234",400,2217,2990,4299,4,14,16,18,"F","NB"
"203","subj_18_tissif_21_Post",18,"tissif","Post","21","I","255",286,2501,3104,3704,3,14,16,17,"F","NB"
"204","subj_18_tissif_25_Post",18,"tissif","Post","25","I","266",279,2514,3032,3695,3,14,16,17,"F","NB"
"205","subj_18_tissif_6_Post",18,"tissif","Post","6","I","336",345,2219,2939,3797,4,14,15,17,"F","NB"
"206","subj_18_tissif_AF2_23",18,"tissif","AF2","23","I","233",297,2574,3071,4304,3,15,16,18,"F","NB"
"207","subj_18_tissif_AF2_26",18,"tissif","AF2","26","I","322",327,2387,2989,3732,3,14,16,17,"F","NB"
"208","subj_18_tissif_AF2_5",18,"tissif","AF2","5","I","303",309,2407,2961,3882,3,14,16,17,"F","NB"
"209","subj_18_tissif_MN1_13",18,"tissif","MN1","13","I","275",556,2064,2947,3564,5,13,16,17,"F","NB"
"210","subj_18_tissif_MN1_17",18,"tissif","MN1","17","I","332",335,2334,2999,3806,3,14,16,17,"F","NB"
"211","subj_18_tissif_MN1_51",18,"tissif","MN1","51","I","357",361,2373,2821,3521,4,14,15,17,"F","NB"
"212","subj_18_tissif_Pre_33",18,"tissif","Pre","33","I","230",325,2353,2927,3931,3,14,15,17,"F","NB"
"213","subj_18_tissif_Pre_42",18,"tissif","Pre","42","I","264",305,2393,2921,3741,3,14,15,17,"F","NB"
"214","subj_18_tissif_Pre_47",18,"tissif","Pre","47","I","233",313,2564,3182,3812,3,15,16,17,"F","NB"
"215","subj_19_kiggif_19_Post",19,"kiggif","Post","19","I","242",457,2355,3185,4015,5,14,16,18,"F","BB"
"216","subj_19_kiggif_38_Post",19,"kiggif","Post","38","I","226",401,2271,3080,4141,4,14,16,18,"F","BB"
"217","subj_19_kiggif_52_Post",19,"kiggif","Post","52","I","211",430,2130,3288,3742,4,13,16,17,"F","BB"
"218","subj_19_kiggif_AF2_29",19,"kiggif","AF1","29","I","237",450,1183,2682,4123,5,10,15,18,"F","BB"
